logg,Teff,Z,xi,a,b,Filt,Met,Mod
 3.50,  5500,-4.5, 2.0, 0.2969, 0.3200,Kp,L,A
 4.00,  5500,-4.5, 2.0, 0.2731, 0.3374,Kp,L,A
 4.50,  5500,-4.5, 2.0, 0.2436, 0.3574,Kp,L,A
 5.00,  5500,-4.5, 2.0, 0.2076, 0.3792,Kp,L,A
 3.50,  5750,-4.5, 2.0, 0.3011, 0.3105,Kp,L,A
 4.00,  5750,-4.5, 2.0, 0.2894, 0.3200,Kp,L,A
 4.50,  5750,-4.5, 2.0, 0.2611, 0.3401,Kp,L,A
 5.00,  5750,-4.5, 2.0, 0.2319, 0.3596,Kp,L,A
 3.50,  6000,-4.5, 2.0, 0.3006, 0.3044,Kp,L,A
 4.00,  6000,-4.5, 2.0, 0.2857, 0.3167,Kp,L,A
 4.50,  6000,-4.5, 2.0, 0.2738, 0.3248,Kp,L,A
 5.00,  6000,-4.5, 2.0, 0.2376, 0.3492,Kp,L,A
 3.50,  6250,-4.5, 2.0, 0.3031, 0.2952,Kp,L,A
 4.00,  6250,-4.5, 2.0, 0.2914, 0.3049,Kp,L,A
 4.50,  6250,-4.5, 2.0, 0.2750, 0.3170,Kp,L,A
 5.00,  6250,-4.5, 2.0, 0.2531, 0.3329,Kp,L,A
 3.50,  6500,-4.5, 2.0, 0.2979, 0.2925,Kp,L,A
 4.00,  6500,-4.5, 2.0, 0.2901, 0.2990,Kp,L,A
 4.50,  6500,-4.5, 2.0, 0.2803, 0.3064,Kp,L,A
 5.00,  6500,-4.5, 2.0, 0.2642, 0.3179,Kp,L,A
 3.50,  6750,-4.5, 2.0, 0.2876, 0.2945,Kp,L,A
 4.00,  6750,-4.5, 2.0, 0.2841, 0.2972,Kp,L,A
 4.50,  6750,-4.5, 2.0, 0.2785, 0.3014,Kp,L,A
 5.00,  6750,-4.5, 2.0, 0.2672, 0.3097,Kp,L,A
 3.50,  7000,-4.5, 2.0, 0.2736, 0.3002,Kp,L,A
 4.00,  7000,-4.5, 2.0, 0.2738, 0.2998,Kp,L,A
 4.50,  7000,-4.5, 2.0, 0.2720, 0.3008,Kp,L,A
 5.00,  7000,-4.5, 2.0, 0.2659, 0.3050,Kp,L,A
 3.50,  7250,-4.5, 2.0, 0.2628, 0.3023,Kp,L,A
 4.00,  7250,-4.5, 2.0, 0.2600, 0.3054,Kp,L,A
 4.50,  7250,-4.5, 2.0, 0.2616, 0.3037,Kp,L,A
 5.00,  7250,-4.5, 2.0, 0.2578, 0.3058,Kp,L,A
 3.50,  7500,-4.5, 2.0, 0.3888, 0.1994,Kp,L,A
 4.00,  7500,-4.5, 2.0, 0.2525, 0.3082,Kp,L,A
 4.50,  7500,-4.5, 2.0, 0.2483, 0.3093,Kp,L,A
 5.00,  7500,-4.5, 2.0, 0.2476, 0.3089,Kp,L,A
 3.50,  7750,-4.5, 2.0, 0.3605, 0.2210,Kp,L,A
 4.00,  7750,-4.5, 2.0, 0.3638, 0.2149,Kp,L,A
 4.50,  7750,-4.5, 2.0, 0.2350, 0.3158,Kp,L,A
 5.00,  7750,-4.5, 2.0, 0.2353, 0.3142,Kp,L,A
 3.50,  8000,-4.5, 2.0, 0.3355, 0.2350,Kp,L,A
 4.00,  8000,-4.5, 2.0, 0.3358, 0.2359,Kp,L,A
 4.50,  8000,-4.5, 2.0, 0.3398, 0.2296,Kp,L,A
 5.00,  8000,-4.5, 2.0, 0.2202, 0.3215,Kp,L,A
 3.50,  8250,-4.5, 2.0, 0.3107, 0.2462,Kp,L,A
 4.00,  8250,-4.5, 2.0, 0.3123, 0.2486,Kp,L,A
 4.50,  8250,-4.5, 2.0, 0.3141, 0.2479,Kp,L,A
 5.00,  8250,-4.5, 2.0, 0.2097, 0.3266,Kp,L,A
 3.50,  8500,-4.5, 2.0, 0.2823, 0.2624,Kp,L,A
 4.00,  8500,-4.5, 2.0, 0.2932, 0.2533,Kp,L,A
 4.50,  8500,-4.5, 2.0, 0.2917, 0.2601,Kp,L,A
 5.00,  8500,-4.5, 2.0, 0.2910, 0.2613,Kp,L,A
 3.50,  8750,-4.5, 2.0, 0.2577, 0.2741,Kp,L,A
 4.00,  8750,-4.5, 2.0, 0.2696, 0.2641,Kp,L,A
 4.50,  8750,-4.5, 2.0, 0.2741, 0.2633,Kp,L,A
 5.00,  8750,-4.5, 2.0, 0.2709, 0.2719,Kp,L,A
 3.50,  9000,-4.5, 2.0, 0.2387, 0.2805,Kp,L,A
 4.00,  9000,-4.5, 2.0, 0.2479, 0.2738,Kp,L,A
 4.50,  9000,-4.5, 2.0, 0.2611, 0.2627,Kp,L,A
 5.00,  9000,-4.5, 2.0, 0.2751, 0.2496,Kp,L,A
 3.50,  9250,-4.5, 2.0, 0.2242, 0.2836,Kp,L,A
 4.00,  9250,-4.5, 2.0, 0.2301, 0.2799,Kp,L,A
 4.50,  9250,-4.5, 2.0, 0.2400, 0.2727,Kp,L,A
 5.00,  9250,-4.5, 2.0, 0.2522, 0.2622,Kp,L,A
 3.50,  9500,-4.5, 2.0, 0.2131, 0.2847,Kp,L,A
 4.00,  9500,-4.5, 2.0, 0.2166, 0.2826,Kp,L,A
 4.50,  9500,-4.5, 2.0, 0.2231, 0.2789,Kp,L,A
 5.00,  9500,-4.5, 2.0, 0.2330, 0.2714,Kp,L,A
 3.50,  9750,-4.5, 2.0, 0.2042, 0.2851,Kp,L,A
 4.00,  9750,-4.5, 2.0, 0.2056, 0.2841,Kp,L,A
 4.50,  9750,-4.5, 2.0, 0.2100, 0.2819,Kp,L,A
 5.00,  9750,-4.5, 2.0, 0.2170, 0.2777,Kp,L,A
 3.50, 10000,-4.5, 2.0, 0.1970, 0.2848,Kp,L,A
 4.00, 10000,-4.5, 2.0, 0.1973, 0.2842,Kp,L,A
 4.50, 10000,-4.5, 2.0, 0.1995, 0.2836,Kp,L,A
 5.00, 10000,-4.5, 2.0, 0.2046, 0.2809,Kp,L,A
 3.50,  3750,-4.0, 2.0, 0.2025, 0.3770,Kp,L,A
 3.50,  4000,-4.0, 2.0, 0.1279, 0.4245,Kp,L,A
 4.00,  4000,-4.0, 2.0, 0.1246, 0.4252,Kp,L,A
 4.50,  4000,-4.0, 2.0, 0.8721,-0.0547,Kp,L,A
 3.50,  4250,-4.0, 2.0, 0.1166, 0.4195,Kp,L,A
 4.00,  4250,-4.0, 2.0, 0.0612, 0.4459,Kp,L,A
 3.50,  4500,-4.0, 2.0, 0.2117, 0.3663,Kp,L,A
 4.00,  4500,-4.0, 2.0, 0.1304, 0.4068,Kp,L,A
 4.50,  4500,-4.0, 2.0, 0.0644, 0.4378,Kp,L,A
 5.00,  4500,-4.0, 2.0, 0.0275, 0.4456,Kp,L,A
 3.50,  4750,-4.0, 2.0, 0.2548, 0.3561,Kp,L,A
 4.00,  4750,-4.0, 2.0, 0.2068, 0.3749,Kp,L,A
 4.50,  4750,-4.0, 2.0, 0.1438, 0.4010,Kp,L,A
 5.00,  4750,-4.0, 2.0, 0.0881, 0.4199,Kp,L,A
 3.50,  5000,-4.0, 2.0, 0.2722, 0.3452,Kp,L,A
 4.00,  5000,-4.0, 2.0, 0.2333, 0.3712,Kp,L,A
 4.50,  5000,-4.0, 2.0, 0.1819, 0.3993,Kp,L,A
 5.00,  5000,-4.0, 2.0, 0.1479, 0.4030,Kp,L,A
 3.50,  5250,-4.0, 2.0, 0.2851, 0.3330,Kp,L,A
 4.00,  5250,-4.0, 2.0, 0.2645, 0.3468,Kp,L,A
 4.50,  5250,-4.0, 2.0, 0.2273, 0.3695,Kp,L,A
 5.00,  5250,-4.0, 2.0, 0.1704, 0.4054,Kp,L,A
 3.50,  5500,-4.0, 2.0, 0.2971, 0.3197,Kp,L,A
 4.00,  5500,-4.0, 2.0, 0.2739, 0.3366,Kp,L,A
 4.50,  5500,-4.0, 2.0, 0.2446, 0.3559,Kp,L,A
 5.00,  5500,-4.0, 2.0, 0.2092, 0.3776,Kp,L,A
 3.50,  5750,-4.0, 2.0, 0.3011, 0.3098,Kp,L,A
 4.00,  5750,-4.0, 2.0, 0.2845, 0.3230,Kp,L,A
 4.50,  5750,-4.0, 2.0, 0.2618, 0.3388,Kp,L,A
 5.00,  5750,-4.0, 2.0, 0.2331, 0.3579,Kp,L,A
 3.50,  6000,-4.0, 2.0, 0.3052, 0.2994,Kp,L,A
 4.00,  6000,-4.0, 2.0, 0.2934, 0.3095,Kp,L,A
 4.50,  6000,-4.0, 2.0, 0.2754, 0.3227,Kp,L,A
 5.00,  6000,-4.0, 2.0, 0.2505, 0.3401,Kp,L,A
 3.50,  6250,-4.0, 2.0, 0.3057, 0.2917,Kp,L,A
 4.00,  6250,-4.0, 2.0, 0.2937, 0.3025,Kp,L,A
 4.50,  6250,-4.0, 2.0, 0.2833, 0.3101,Kp,L,A
 5.00,  6250,-4.0, 2.0, 0.2604, 0.3264,Kp,L,A
 3.50,  6500,-4.0, 2.0, 0.2993, 0.2901,Kp,L,A
 4.00,  6500,-4.0, 2.0, 0.2912, 0.2976,Kp,L,A
 4.50,  6500,-4.0, 2.0, 0.2834, 0.3037,Kp,L,A
 5.00,  6500,-4.0, 2.0, 0.2678, 0.3149,Kp,L,A
 3.50,  6750,-4.0, 2.0, 0.2880, 0.2933,Kp,L,A
 4.00,  6750,-4.0, 2.0, 0.2845, 0.2960,Kp,L,A
 4.50,  6750,-4.0, 2.0, 0.2802, 0.2999,Kp,L,A
 5.00,  6750,-4.0, 2.0, 0.2696, 0.3075,Kp,L,A
 3.50,  7000,-4.0, 2.0, 0.2740, 0.2996,Kp,L,A
 4.00,  7000,-4.0, 2.0, 0.2741, 0.2991,Kp,L,A
 4.50,  7000,-4.0, 2.0, 0.2739, 0.2990,Kp,L,A
 5.00,  7000,-4.0, 2.0, 0.2665, 0.3042,Kp,L,A
 3.50,  7250,-4.0, 2.0, 0.2633, 0.3020,Kp,L,A
 4.00,  7250,-4.0, 2.0, 0.2607, 0.3046,Kp,L,A
 4.50,  7250,-4.0, 2.0, 0.2634, 0.3021,Kp,L,A
 5.00,  7250,-4.0, 2.0, 0.2605, 0.3036,Kp,L,A
 3.50,  7500,-4.0, 2.0, 0.3893, 0.1988,Kp,L,A
 4.00,  7500,-4.0, 2.0, 0.2538, 0.3071,Kp,L,A
 4.50,  7500,-4.0, 2.0, 0.2496, 0.3083,Kp,L,A
 5.00,  7500,-4.0, 2.0, 0.2501, 0.3070,Kp,L,A
 3.50,  7750,-4.0, 2.0, 0.3605, 0.2209,Kp,L,A
 4.00,  7750,-4.0, 2.0, 0.3640, 0.2147,Kp,L,A
 4.50,  7750,-4.0, 2.0, 0.2362, 0.3148,Kp,L,A
 5.00,  7750,-4.0, 2.0, 0.2371, 0.3129,Kp,L,A
 3.50,  8000,-4.0, 2.0, 0.3350, 0.2353,Kp,L,A
 4.00,  8000,-4.0, 2.0, 0.3358, 0.2359,Kp,L,A
 4.50,  8000,-4.0, 2.0, 0.3397, 0.2296,Kp,L,A
 5.00,  8000,-4.0, 2.0, 0.2215, 0.3207,Kp,L,A
 3.50,  8250,-4.0, 2.0, 0.3108, 0.2461,Kp,L,A
 4.00,  8250,-4.0, 2.0, 0.3125, 0.2482,Kp,L,A
 4.50,  8250,-4.0, 2.0, 0.3139, 0.2480,Kp,L,A
 5.00,  8250,-4.0, 2.0, 0.2103, 0.3260,Kp,L,A
 3.50,  8500,-4.0, 2.0, 0.2824, 0.2622,Kp,L,A
 4.00,  8500,-4.0, 2.0, 0.2929, 0.2534,Kp,L,A
 4.50,  8500,-4.0, 2.0, 0.2917, 0.2599,Kp,L,A
 5.00,  8500,-4.0, 2.0, 0.2911, 0.2610,Kp,L,A
 3.50,  8750,-4.0, 2.0, 0.2577, 0.2742,Kp,L,A
 4.00,  8750,-4.0, 2.0, 0.2696, 0.2640,Kp,L,A
 4.50,  8750,-4.0, 2.0, 0.2741, 0.2630,Kp,L,A
 5.00,  8750,-4.0, 2.0, 0.2707, 0.2718,Kp,L,A
 3.50,  9000,-4.0, 2.0, 0.2388, 0.2804,Kp,L,A
 4.00,  9000,-4.0, 2.0, 0.2480, 0.2736,Kp,L,A
 4.50,  9000,-4.0, 2.0, 0.2607, 0.2630,Kp,L,A
 5.00,  9000,-4.0, 2.0, 0.2752, 0.2493,Kp,L,A
 3.50,  9250,-4.0, 2.0, 0.2242, 0.2835,Kp,L,A
 4.00,  9250,-4.0, 2.0, 0.2303, 0.2795,Kp,L,A
 4.50,  9250,-4.0, 2.0, 0.2396, 0.2731,Kp,L,A
 5.00,  9250,-4.0, 2.0, 0.2522, 0.2620,Kp,L,A
 3.50,  9500,-4.0, 2.0, 0.2131, 0.2847,Kp,L,A
 4.00,  9500,-4.0, 2.0, 0.2165, 0.2826,Kp,L,A
 4.50,  9500,-4.0, 2.0, 0.2232, 0.2786,Kp,L,A
 5.00,  9500,-4.0, 2.0, 0.2330, 0.2713,Kp,L,A
 3.50,  9750,-4.0, 2.0, 0.2041, 0.2850,Kp,L,A
 4.00,  9750,-4.0, 2.0, 0.2058, 0.2838,Kp,L,A
 4.50,  9750,-4.0, 2.0, 0.2102, 0.2816,Kp,L,A
 5.00,  9750,-4.0, 2.0, 0.2169, 0.2775,Kp,L,A
 3.50, 10000,-4.0, 2.0, 0.1969, 0.2847,Kp,L,A
 4.00, 10000,-4.0, 2.0, 0.1972, 0.2841,Kp,L,A
 4.50, 10000,-4.0, 2.0, 0.1996, 0.2832,Kp,L,A
 5.00, 10000,-4.0, 2.0, 0.2043, 0.2809,Kp,L,A
 3.50,  3500,-3.5, 2.0, 0.2305, 0.3988,Kp,L,A
 3.50,  3750,-3.5, 2.0, 0.1554, 0.4419,Kp,L,A
 4.00,  3750,-3.5, 2.0, 0.1489, 0.4641,Kp,L,A
 3.50,  4000,-3.5, 2.0, 0.1022, 0.4767,Kp,L,A
 4.00,  4000,-3.5, 2.0, 0.0830, 0.4953,Kp,L,A
 4.50,  4000,-3.5, 2.0, 0.1032, 0.4681,Kp,L,A
 3.50,  4250,-3.5, 2.0, 0.1118, 0.4693,Kp,L,A
 4.00,  4250,-3.5, 2.0, 0.0519, 0.5064,Kp,L,A
 4.50,  4250,-3.5, 2.0, 0.0243, 0.5324,Kp,L,A
 3.50,  4500,-3.5, 2.0, 0.2243, 0.3641,Kp,L,A
 4.00,  4500,-3.5, 2.0, 0.1442, 0.4062,Kp,L,A
 4.50,  4500,-3.5, 2.0, 0.0863, 0.4301,Kp,L,A
 5.00,  4500,-3.5, 2.0, 0.0411, 0.4602,Kp,L,A
 3.50,  4750,-3.5, 2.0, 0.2612, 0.3532,Kp,L,A
 4.00,  4750,-3.5, 2.0, 0.2151, 0.3710,Kp,L,A
 4.50,  4750,-3.5, 2.0, 0.1467, 0.4045,Kp,L,A
 5.00,  4750,-3.5, 2.0, 0.0640, 0.4600,Kp,L,A
 3.50,  5000,-3.5, 2.0, 0.2764, 0.3404,Kp,L,A
 4.00,  5000,-3.5, 2.0, 0.2371, 0.3672,Kp,L,A
 4.50,  5000,-3.5, 2.0, 0.1844, 0.3973,Kp,L,A
 5.00,  5000,-3.5, 2.0, 0.1261, 0.4307,Kp,L,A
 3.50,  5250,-3.5, 2.0, 0.2908, 0.3268,Kp,L,A
 4.00,  5250,-3.5, 2.0, 0.2629, 0.3472,Kp,L,A
 4.50,  5250,-3.5, 2.0, 0.2266, 0.3700,Kp,L,A
 5.00,  5250,-3.5, 2.0, 0.1780, 0.3991,Kp,L,A
 3.50,  5500,-3.5, 2.0, 0.3021, 0.3142,Kp,L,A
 4.00,  5500,-3.5, 2.0, 0.2789, 0.3311,Kp,L,A
 4.50,  5500,-3.5, 2.0, 0.2508, 0.3494,Kp,L,A
