##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): July 18, 2019, 11:54 p.m.
## Download Date (Y/M/D): 2019/07/22
##
## Query String: {&quot;sort&quot;:&quot;p&quot;,&quot;etvlong&quot;:true,&quot;campaign&quot;:[&quot;5&quot;,&quot;4&quot;,&quot;1&quot;,&quot;0&quot;,&quot;3&quot;,&quot;2&quot;,&quot;-2&quot;],&quot;morph&quot;:{&quot;max&quot;:0.8,&quot;min&quot;:0.0},&quot;kics&quot;:[],&quot;cols&quot;:[&quot;sdepth&quot;,&quot;scdata&quot;,&quot;morph&quot;,&quot;pdepth&quot;,&quot;kic&quot;,&quot;lcdata&quot;,&quot;keff&quot;,&quot;p&quot;,&quot;figs&quot;,&quot;perr&quot;],&quot;etvshort&quot;:true,&quot;p&quot;:{&quot;max&quot;:50.0,&quot;min&quot;:0.0},&quot;incat1&quot;:true,&quot;keff&quot;:{&quot;min&quot;:0.0},&quot;kois&quot;:[]}
##
#KIC,period,period_err,pdepth,sdepth,morph,Teff,SC,
3439180,0.3250651,0.0000003,0.1838,0.1591,0.76,5597.0000,False,
7685689,0.3251596,0.0000003,0.3378,0.3184,0.78,5677.0000,False,
5791886,0.3251705,0.0000003,0.3208,0.2810,0.77,5647.0000,False,
11972387,0.3278982,0.0000002,0.0003,-1.0000,0.58,6782.0000,False,
3956545,0.3302801,0.0000002,0.3629,0.2977,0.75,5617.0000,False,
7696778,0.3312357,0.0000005,0.3058,0.2845,0.79,5022.0000,False,
8097902,0.3315636,0.0000005,0.3517,0.3436,0.75,5569.0000,False,
12458133,0.3325218,0.0000002,0.3102,0.2698,0.77,5402.0000,False,
9786165,0.3326251,0.0000019,0.5214,0.4724,0.73,6098.0000,True,
5620981,0.3335163,0.0000002,0.2492,0.2182,0.79,5406.0000,False,
11502581,0.3336360,0.0000002,0.4844,0.4331,0.74,5696.0000,False,
4945857,0.3354148,0.0000002,0.1382,0.1256,0.75,5232.0000,False,
9110213,0.3370543,0.0000002,0.1234,0.1106,0.73,4400.0000,False,
8211618,0.3374436,0.0000045,0.4848,0.4298,0.74,5556.0000,False,
10447902,0.3374641,0.0000002,0.2241,0.1862,0.76,5578.0000,False,
7362751,0.3382490,0.0000002,0.0307,0.0260,0.74,5079.0000,False,
5615528,0.3391748,0.0000002,0.0142,-1.0000,0.70,5850.0000,False,
6615041,0.3400853,0.0000002,0.4482,0.4206,0.76,5718.0000,False,
6843507,0.3431821,0.0000002,0.2936,0.2602,0.78,5489.0000,False,
9639491,0.3445456,0.0000002,0.2918,0.2832,0.73,4833.0000,False,
3560212,0.3460643,0.0000002,0.4836,0.4874,0.74,5233.0000,False,
10848807,0.3462467,0.0000002,0.3678,0.3688,0.75,5869.0000,False,
7339123,0.3471032,0.0000002,0.0811,0.0747,0.76,6138.0000,True,
3549994,0.3471816,0.0000005,0.4363,0.3976,0.74,5544.0000,False,
8957887,0.3473549,0.0000002,0.1487,0.1325,0.77,5367.0000,False,
10680475,0.3498321,0.0000002,0.3287,0.3067,0.78,6082.0000,False,
9389122,0.3499502,0.0000002,0.4419,0.3990,0.75,5400.0000,False,
3935319,0.3531307,0.0000003,0.3470,0.2833,0.76,5203.0000,False,
4074532,0.3531526,0.0000002,0.1638,0.1464,0.74,5403.0000,False,
10727655,0.3533655,0.0000002,0.5274,0.4701,0.74,6074.0000,True,
8241252,0.3540438,0.0000002,0.2997,0.2765,0.78,5932.0000,False,
12019674,0.3545042,0.0000002,0.2400,0.2175,0.77,5841.0000,False,
5878836,0.3548794,0.0000003,0.0719,0.0613,0.80,5491.0000,False,
8143757,0.3565228,0.0000002,0.3745,0.3665,0.78,5847.0000,False,
7117153,0.3595289,0.0000002,0.1369,0.1165,0.78,5672.0000,False,
4991959,0.3609387,0.0000002,0.4255,0.4004,0.76,5683.0000,False,
5015926,0.3626874,0.0000002,0.1110,0.1060,0.75,5848.0000,False,
9947924,0.3628059,0.0000002,0.2908,0.2630,0.72,5981.0000,False,
8587792,0.3681687,0.0000002,0.3443,0.3214,0.77,5731.0000,True,
3936357,0.3691536,0.0000002,0.4242,0.4170,0.77,5933.0000,True,
7118621,0.3705528,0.0000002,0.4612,0.4163,0.74,5693.0000,False,
7878402,0.3743508,0.0000003,0.5405,0.4575,0.74,5415.0000,True,
10924462,0.3753715,0.0000002,0.3440,0.2098,0.67,4747.0000,True,
5425950,0.3781682,0.0000003,0.4490,0.3332,0.76,5483.0000,False,
4999260,0.3783682,0.0000003,0.0235,0.0219,0.76,5048.0000,False,
5790912,0.3833172,0.0000003,0.2151,0.1987,0.78,5733.0000,False,
4859432,0.3854800,0.0000003,0.3467,0.3223,0.77,5067.0000,False,
9481674,0.3888597,0.0000003,0.2283,0.1736,0.78,5347.0000,False,
2444187,0.3901594,0.0000003,0.3987,0.3862,0.76,6162.0000,False,
11042923,0.3901623,0.0000003,0.2822,0.2830,0.76,6086.0000,False,
10275197,0.3908347,0.0000003,0.2099,0.2034,0.79,6440.0000,False,
8097553,0.3912358,0.0000003,0.5036,0.4347,0.74,5408.0000,False,
7879399,0.3926970,0.0000003,0.2705,0.2392,0.74,5321.0000,False,
9833806,0.3931764,0.0000003,0.0163,0.0130,0.66,4942.0000,True,
5353374,0.3933205,0.0000003,0.3962,0.3715,0.79,6402.0000,False,
