logg,Teff,Z,xi,aLSM,bLSM
3.5,3500,-3.5,2.0,0.0943,0.4706
3.5,3750,-3.5,2.0,0.0592,0.4659
4.0,3750,-3.5,2.0,0.0534,0.4876
3.5,4000,-3.5,2.0,0.0308,0.4761
4.0,4000,-3.5,2.0,0.0205,0.4846
4.5,4000,-3.5,2.0,0.0385,0.4575
3.5,4250,-3.5,2.0,0.0431,0.4665
4.0,4250,-3.5,2.0,0.0035,0.4837
4.5,4250,-3.5,2.0,-0.0142,0.5
3.5,4500,-3.5,2.0,0.1415,0.3694
4.0,4500,-3.5,2.0,0.0879,0.3868
4.5,4500,-3.5,2.0,0.0463,0.3974
5.0,4500,-3.5,2.0,0.0114,0.4206
3.5,4750,-3.5,2.0,0.1761,0.3595
4.0,4750,-3.5,2.0,0.1452,0.3621
4.5,4750,-3.5,2.0,0.095,0.3806
5.0,4750,-3.5,2.0,0.0291,0.4253
3.5,5000,-3.5,2.0,0.1927,0.3439
4.0,5000,-3.5,2.0,0.165,0.3599
4.5,5000,-3.5,2.0,0.1249,0.3801
5.0,5000,-3.5,2.0,0.0803,0.4029
3.5,5250,-3.5,2.0,0.2087,0.3273
4.0,5250,-3.5,2.0,0.1893,0.34
4.5,5250,-3.5,2.0,0.1622,0.3553
5.0,5250,-3.5,2.0,0.1235,0.3772
3.5,5500,-3.5,2.0,0.2219,0.312
4.0,5500,-3.5,2.0,0.2052,0.3234
4.5,5500,-3.5,2.0,0.184,0.3363
5.0,5500,-3.5,2.0,0.16,0.3482
3.5,5750,-3.5,2.0,0.2293,0.2989
4.0,5750,-3.5,2.0,0.2168,0.3078
4.5,5750,-3.5,2.0,0.1997,0.3204
5.0,5750,-3.5,2.0,0.1768,0.3352
3.5,6000,-3.5,2.0,0.2309,0.2904
4.0,6000,-3.5,2.0,0.2244,0.2953
4.5,6000,-3.5,2.0,0.213,0.3038
5.0,6000,-3.5,2.0,0.1912,0.3194
3.5,6250,-3.5,2.0,0.2277,0.2865
4.0,6250,-3.5,2.0,0.2235,0.2898
4.5,6250,-3.5,2.0,0.2177,0.2935
5.0,6250,-3.5,2.0,0.2026,0.3047
3.5,6500,-3.5,2.0,0.2217,0.2843
4.0,6500,-3.5,2.0,0.2211,0.2848
4.5,6500,-3.5,2.0,0.2176,0.2879
5.0,6500,-3.5,2.0,0.2071,0.2958
3.5,6750,-3.5,2.0,0.2104,0.2879
4.0,6750,-3.5,2.0,0.2132,0.2856
4.5,6750,-3.5,2.0,0.2133,0.2854
5.0,6750,-3.5,2.0,0.2081,0.2892
3.5,7000,-3.5,2.0,0.1969,0.293
4.0,7000,-3.5,2.0,0.202,0.289
4.5,7000,-3.5,2.0,0.2058,0.2859
5.0,7000,-3.5,2.0,0.2045,0.2867
3.5,7250,-3.5,2.0,0.1783,0.2991
4.0,7250,-3.5,2.0,0.1884,0.2942
4.5,7250,-3.5,2.0,0.1951,0.2891
5.0,7250,-3.5,2.0,0.1972,0.2873
3.5,7500,-3.5,2.0,0.1851,0.281
4.0,7500,-3.5,2.0,0.1762,0.2982
4.5,7500,-3.5,2.0,0.1819,0.2942
5.0,7500,-3.5,2.0,0.1864,0.2909
3.5,7750,-3.5,2.0,0.2153,0.2568
4.0,7750,-3.5,2.0,0.1645,0.2979
4.5,7750,-3.5,2.0,0.1695,0.2986
5.0,7750,-3.5,2.0,0.1736,0.2958
3.5,8000,-3.5,2.0,0.2337,0.2381
4.0,8000,-3.5,2.0,0.1872,0.2762
4.5,8000,-3.5,2.0,0.1482,0.3069
5.0,8000,-3.5,2.0,0.1603,0.3007
3.5,8250,-3.5,2.0,0.228,0.2327
4.0,8250,-3.5,2.0,0.2115,0.2495
4.5,8250,-3.5,2.0,0.1618,0.2925
5.0,8250,-3.5,2.0,0.142,0.3073
3.5,8500,-3.5,2.0,0.2079,0.2423
4.0,8500,-3.5,2.0,0.2159,0.2346
4.5,8500,-3.5,2.0,0.1871,0.2645
5.0,8500,-3.5,2.0,0.1434,0.3004
3.5,8750,-3.5,2.0,0.1918,0.248
4.0,8750,-3.5,2.0,0.1994,0.2396
4.5,8750,-3.5,2.0,0.2015,0.2407
5.0,8750,-3.5,2.0,0.1629,0.2793
3.5,9000,-3.5,2.0,0.1795,0.2501
4.0,9000,-3.5,2.0,0.1852,0.2436
4.5,9000,-3.5,2.0,0.1922,0.2366
5.0,9000,-3.5,2.0,0.1994,0.2293
3.5,9250,-3.5,2.0,0.1702,0.2505
4.0,9250,-3.5,2.0,0.1743,0.2451
4.5,9250,-3.5,2.0,0.1792,0.2404
5.0,9250,-3.5,2.0,0.1848,0.2347
3.5,9500,-3.5,2.0,0.1628,0.2504
4.0,9500,-3.5,2.0,0.166,0.2451
4.5,9500,-3.5,2.0,0.1685,0.2424
5.0,9500,-3.5,2.0,0.1726,0.2383
3.5,9750,-3.5,2.0,0.1572,0.2495
4.0,9750,-3.5,2.0,0.1593,0.2445
4.5,9750,-3.5,2.0,0.1609,0.2421
5.0,9750,-3.5,2.0,0.1631,0.2398
3.5,10000,-3.5,2.0,0.1523,0.2486
4.0,10000,-3.5,2.0,0.1542,0.2434
4.5,10000,-3.5,2.0,0.1548,0.2414
5.0,10000,-3.5,2.0,0.1556,0.24
3.5,3500,-3.0,2.0,0.0751,0.4812
4.0,3500,-3.0,2.0,0.0933,0.4795
3.5,3750,-3.0,2.0,0.0599,0.4729
4.0,3750,-3.0,2.0,0.0503,0.4856
4.5,3750,-3.0,2.0,0.3633,0.1873
